epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,450.396,1.41354,1.899,1.58099,0.73108,0.42491,0.56445,0.22546,1.78965,2.71934,2.06518,0.000658436,0.000658436,0.000658436
2,898.552,1.44826,1.6354,1.60611,0.53216,0.46587,0.43606,0.15942,2.06482,2.54418,2.63447,0.00123765,0.00123765,0.00123765
3,1342.16,1.48856,1.52231,1.64009,0.45379,0.48294,0.4116,0.17892,1.73412,2.03675,2.06231,0.00172886,0.00172886,0.00172886
4,1789.3,1.48835,1.41753,1.62468,0.3215,0.43345,0.33585,0.12071,1.87957,2.5363,2.14176,0.001604,0.001604,0.001604
5,2222.54,1.45422,1.33821,1.61174,0.69013,0.63823,0.69405,0.33136,1.66724,1.60078,1.91251,0.001472,0.001472,0.001472
6,2671.65,1.40296,1.2661,1.71281,0.73553,0.72615,0.76184,0.38802,1.56174,1.31465,1.80341,0.00134,0.00134,0.00134
7,3135.61,1.3376,1.11772,1.62731,0.83304,0.8174,0.86551,0.5058,1.3349,1.07383,1.60401,0.001208,0.001208,0.001208
8,3549.29,1.29362,0.98397,1.58293,0.90692,0.78144,0.88962,0.52299,1.37572,1.06199,1.69802,0.001076,0.001076,0.001076
