epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1437.73,1.0197,0.62307,1.26226,0.97513,0.96416,0.98317,0.75641,0.88051,0.42775,1.19842,0.0013565,0.0013565,0.0013565
67,1458.78,0.98423,0.59694,1.23224,0.98467,0.96758,0.9852,0.75662,0.89413,0.4271,1.22283,0.0013466,0.0013466,0.0013466
68,1480,0.98038,0.58938,1.24094,0.97109,0.97443,0.98952,0.73103,0.92417,0.46374,1.22477,0.0013367,0.0013367,0.0013367
69,1501.3,0.98355,0.6038,1.24702,0.97663,0.96758,0.98709,0.75549,0.89564,0.42678,1.20983,0.0013268,0.0013268,0.0013268
70,1522.71,0.99334,0.59845,1.24602,0.98109,0.97364,0.98899,0.76709,0.87274,0.42619,1.20301,0.0013169,0.0013169,0.0013169
71,1543.96,0.99008,0.59369,1.23543,0.96752,0.96591,0.98327,0.74181,0.9274,0.43842,1.24545,0.001307,0.001307,0.001307
72,1565.41,0.95335,0.57998,1.2142,0.96073,0.96015,0.98446,0.74239,0.91235,0.45381,1.23787,0.0012971,0.0012971,0.0012971
73,1586.94,0.97027,0.57961,1.22571,0.98163,0.96416,0.98253,0.75322,0.87894,0.43728,1.20106,0.0012872,0.0012872,0.0012872
74,1726.87,0.96611,0.57912,1.22159,0.98613,0.97041,0.98875,0.76831,0.86704,0.41523,1.18613,0.0012773,0.0012773,0.0012773
75,1748.48,0.95059,0.57793,1.21765,0.98246,0.9744,0.99145,0.77164,0.85026,0.40027,1.17493,0.0012674,0.0012674,0.0012674
76,1770.1,0.95259,0.56999,1.22161,0.98281,0.97584,0.98722,0.76343,0.88152,0.40085,1.19967,0.0012575,0.0012575,0.0012575
77,1794.17,0.96092,0.57943,1.22959,0.9807,0.95367,0.98396,0.75079,0.90925,0.43475,1.21282,0.0012476,0.0012476,0.0012476
78,1816.52,0.96181,0.57751,1.22468,0.9808,0.96928,0.98472,0.76893,0.85885,0.39859,1.17878,0.0012377,0.0012377,0.0012377
79,1838.15,0.94734,0.56586,1.21027,0.98509,0.96758,0.98961,0.7723,0.83832,0.40333,1.17171,0.0012278,0.0012278,0.0012278
80,1860.25,0.92494,0.56244,1.20775,0.98558,0.9744,0.98598,0.76792,0.84223,0.40446,1.17287,0.0012179,0.0012179,0.0012179
81,1882.37,0.94617,0.55075,1.20958,0.98434,0.96416,0.98597,0.7724,0.86572,0.40295,1.19495,0.001208,0.001208,0.001208
82,1905.56,0.9588,0.57137,1.2274,0.97778,0.9764,0.98938,0.76391,0.85278,0.40451,1.18248,0.0011981,0.0011981,0.0011981
83,1928.43,0.95411,0.55436,1.21295,0.98765,0.97611,0.99007,0.77503,0.85152,0.39539,1.19139,0.0011882,0.0011882,0.0011882
84,1951.81,0.93362,0.55897,1.22063,0.98786,0.97236,0.99175,0.77602,0.84178,0.39385,1.16485,0.0011783,0.0011783,0.0011783
85,1975.26,0.92726,0.54914,1.20221,0.98785,0.9711,0.98671,0.77854,0.8429,0.39,1.17224,0.0011684,0.0011684,0.0011684
86,1998.73,0.92931,0.55132,1.21102,0.99027,0.97099,0.99272,0.7876,0.80762,0.38963,1.15,0.0011585,0.0011585,0.0011585
87,2020.76,0.93129,0.54188,1.20432,0.98879,0.9744,0.98591,0.77914,0.81989,0.38291,1.16254,0.0011486,0.0011486,0.0011486
88,2043.45,0.90906,0.54046,1.19989,0.9804,0.97611,0.98959,0.78609,0.80225,0.37707,1.1608,0.0011387,0.0011387,0.0011387
89,2065.74,0.9236,0.54409,1.19769,0.98612,0.96416,0.98609,0.78877,0.80599,0.38255,1.14406,0.0011288,0.0011288,0.0011288
90,2087.7,0.91221,0.54182,1.19153,0.9825,0.9727,0.98675,0.79179,0.79314,0.38,1.1381,0.0011189,0.0011189,0.0011189
91,2109.73,0.89984,0.54355,1.20197,0.99138,0.98122,0.98936,0.78549,0.8268,0.38591,1.16407,0.001109,0.001109,0.001109
92,2131.81,0.9171,0.54899,1.19881,0.97932,0.9699,0.98659,0.78586,0.82722,0.3901,1.16501,0.0010991,0.0010991,0.0010991
93,2154.04,0.91043,0.53817,1.19888,0.98317,0.97952,0.99254,0.79004,0.80025,0.37811,1.14116,0.0010892,0.0010892,0.0010892
94,2176.55,0.90721,0.5334,1.19942,0.97948,0.97099,0.99064,0.79696,0.79569,0.38203,1.14176,0.0010793,0.0010793,0.0010793
95,2198.34,0.90197,0.52702,1.19042,0.9894,0.95565,0.98434,0.77805,0.79681,0.38655,1.14958,0.0010694,0.0010694,0.0010694
96,2220.3,0.88918,0.5318,1.1805,0.98794,0.97819,0.98731,0.78569,0.78751,0.37496,1.13096,0.0010595,0.0010595,0.0010595
97,2242.37,0.89947,0.52349,1.18818,0.97957,0.98188,0.98734,0.79459,0.74848,0.38067,1.11511,0.0010496,0.0010496,0.0010496
98,2264.76,0.87938,0.51788,1.1755,0.98848,0.97611,0.98718,0.78744,0.77226,0.37312,1.11957,0.0010397,0.0010397,0.0010397
99,2286.63,0.87345,0.51555,1.17673,0.98278,0.97401,0.99253,0.79509,0.77154,0.37649,1.12635,0.0010298,0.0010298,0.0010298
100,2308.71,0.89278,0.52707,1.18805,0.99129,0.97065,0.99251,0.80313,0.76318,0.36358,1.12189,0.0010199,0.0010199,0.0010199
101,2330.95,0.88163,0.5178,1.18037,0.9829,0.98078,0.99414,0.80029,0.75824,0.36552,1.11365,0.00101,0.00101,0.00101
102,2352.94,0.87358,0.51825,1.17785,0.9882,0.97782,0.99413,0.80137,0.75255,0.35268,1.11864,0.0010001,0.0010001,0.0010001
103,2374.71,0.87669,0.5081,1.16773,0.98627,0.98083,0.9933,0.80766,0.75367,0.35293,1.11302,0.0009902,0.0009902,0.0009902
104,2397.27,0.88328,0.52292,1.17937,0.97925,0.96758,0.99055,0.79214,0.78993,0.38358,1.13622,0.0009803,0.0009803,0.0009803
105,2419.56,0.85489,0.49995,1.16469,0.9888,0.98635,0.99304,0.80732,0.74672,0.35358,1.10878,0.0009704,0.0009704,0.0009704
106,2441.89,0.86245,0.50286,1.1669,0.98794,0.97821,0.99383,0.80756,0.75667,0.36255,1.11894,0.0009605,0.0009605,0.0009605
107,2463.87,0.84962,0.49482,1.17409,0.9847,0.97952,0.99217,0.81129,0.72772,0.34411,1.10092,0.0009506,0.0009506,0.0009506
108,2485.81,0.85974,0.50736,1.17051,0.98974,0.97952,0.99249,0.81507,0.7278,0.34529,1.09415,0.0009407,0.0009407,0.0009407
109,2507.98,0.84896,0.4976,1.15207,0.98971,0.9845,0.99383,0.80767,0.74698,0.34948,1.10605,0.0009308,0.0009308,0.0009308
110,2529.81,0.84624,0.50446,1.15936,0.98945,0.97952,0.99146,0.80044,0.74776,0.35128,1.10159,0.0009209,0.0009209,0.0009209
111,2551.91,0.8473,0.4886,1.15793,0.98799,0.98295,0.9912,0.813,0.73316,0.34151,1.09225,0.000911,0.000911,0.000911
112,2574.11,0.87633,0.51021,1.18706,0.9896,0.98123,0.99411,0.81086,0.73845,0.34492,1.10078,0.0009011,0.0009011,0.0009011
113,2596.08,0.84375,0.49836,1.16382,0.983,0.98702,0.99427,0.81289,0.73367,0.33877,1.10494,0.0008912,0.0008912,0.0008912
114,2617.82,0.85315,0.49567,1.15874,0.98793,0.97806,0.99362,0.81418,0.72413,0.34703,1.10414,0.0008813,0.0008813,0.0008813
115,2640.06,0.83495,0.49688,1.15124,0.98392,0.97952,0.9878,0.81682,0.71528,0.35108,1.09176,0.0008714,0.0008714,0.0008714
116,2662.48,0.81238,0.48252,1.13828,0.98803,0.98464,0.99433,0.81426,0.72037,0.34267,1.10532,0.0008615,0.0008615,0.0008615
117,2684.94,0.82592,0.47757,1.14008,0.99109,0.98123,0.99272,0.81144,0.73503,0.34411,1.11238,0.0008516,0.0008516,0.0008516
118,2706.8,0.83233,0.48223,1.15337,0.98668,0.98123,0.99317,0.818,0.7076,0.34222,1.08325,0.0008417,0.0008417,0.0008417
119,2728.8,0.84232,0.48819,1.15534,0.98839,0.98123,0.99321,0.82311,0.71689,0.34623,1.09074,0.0008318,0.0008318,0.0008318
120,2750.72,0.82447,0.4775,1.15081,0.98452,0.9767,0.99069,0.81439,0.71098,0.33478,1.08836,0.0008219,0.0008219,0.0008219
121,2772.83,0.81197,0.46834,1.13979,0.98963,0.97665,0.99371,0.82518,0.69912,0.33079,1.08094,0.000812,0.000812,0.000812
122,2795.01,0.82165,0.47538,1.13909,0.98801,0.98451,0.99256,0.82133,0.70023,0.3349,1.08771,0.0008021,0.0008021,0.0008021
123,2816.85,0.8259,0.47643,1.15738,0.98799,0.98274,0.99363,0.82073,0.69958,0.33044,1.07784,0.0007922,0.0007922,0.0007922
124,2839.02,0.79614,0.46013,1.12849,0.99053,0.97611,0.98738,0.81573,0.70053,0.34015,1.08067,0.0007823,0.0007823,0.0007823
125,2861.05,0.80883,0.46497,1.14214,0.9863,0.98304,0.99428,0.82487,0.69122,0.32784,1.07105,0.0007724,0.0007724,0.0007724
126,2883.19,0.80438,0.47236,1.13381,0.98704,0.98294,0.99444,0.82431,0.69743,0.3284,1.07727,0.0007625,0.0007625,0.0007625
127,2905.03,0.8038,0.46246,1.13489,0.99078,0.98123,0.99247,0.82447,0.69119,0.32776,1.07284,0.0007526,0.0007526,0.0007526
128,2927.39,0.8088,0.46796,1.13459,0.99655,0.9846,0.99389,0.82319,0.70391,0.32669,1.09319,0.0007427,0.0007427,0.0007427
129,2949.38,0.79786,0.45765,1.13138,0.99039,0.9744,0.98774,0.81549,0.71688,0.33411,1.09043,0.0007328,0.0007328,0.0007328
130,2971.76,0.79577,0.4625,1.13957,0.99292,0.97099,0.98738,0.81643,0.69282,0.32351,1.08527,0.0007229,0.0007229,0.0007229
131,2993.95,0.78317,0.45628,1.12734,0.98627,0.98041,0.99156,0.82825,0.67849,0.32911,1.06459,0.000713,0.000713,0.000713
132,3016.34,0.78307,0.45532,1.11914,0.98463,0.98408,0.99159,0.82149,0.68594,0.33169,1.07205,0.0007031,0.0007031,0.0007031
133,3038.21,0.78108,0.43516,1.12193,0.99072,0.97952,0.98863,0.82618,0.67396,0.32372,1.06553,0.0006932,0.0006932,0.0006932
134,3060.26,0.77164,0.44265,1.1131,0.99229,0.97782,0.9879,0.82647,0.66759,0.32042,1.05234,0.0006833,0.0006833,0.0006833
135,3082.39,0.77103,0.43718,1.12786,0.99483,0.98539,0.9946,0.83691,0.65382,0.31698,1.05038,0.0006734,0.0006734,0.0006734
136,3104.56,0.76586,0.44668,1.11293,0.98976,0.98921,0.99374,0.83501,0.65946,0.31883,1.05562,0.0006635,0.0006635,0.0006635
137,3126.35,0.76486,0.43818,1.11439,0.99166,0.98464,0.99262,0.83225,0.66661,0.32044,1.06577,0.0006536,0.0006536,0.0006536
138,3148.53,0.75484,0.43968,1.11858,0.99463,0.98976,0.99345,0.84236,0.6474,0.31092,1.04322,0.0006437,0.0006437,0.0006437
139,3170.54,0.77926,0.44872,1.11326,0.99655,0.98549,0.98913,0.83692,0.64941,0.31203,1.04083,0.0006338,0.0006338,0.0006338
140,3192.39,0.75973,0.442,1.11239,0.99556,0.98294,0.9893,0.8343,0.65814,0.31016,1.0456,0.0006239,0.0006239,0.0006239
141,3214.19,0.76534,0.45536,1.11263,0.99655,0.98607,0.99475,0.83879,0.64458,0.30561,1.04747,0.000614,0.000614,0.000614
142,3236.42,0.75611,0.43962,1.11017,0.99426,0.98805,0.99478,0.84006,0.63452,0.30261,1.03833,0.0006041,0.0006041,0.0006041
143,3258.34,0.75294,0.43748,1.10343,0.99138,0.98464,0.99366,0.8405,0.62962,0.30685,1.03943,0.0005942,0.0005942,0.0005942
144,3280.37,0.74361,0.42495,1.10279,0.99107,0.98635,0.99258,0.84689,0.63374,0.30854,1.03959,0.0005843,0.0005843,0.0005843
145,3302.55,0.73989,0.43682,1.10584,0.99743,0.98464,0.98868,0.8396,0.63341,0.30315,1.03736,0.0005744,0.0005744,0.0005744
146,3324.51,0.75159,0.43582,1.10828,0.99139,0.982,0.98813,0.83904,0.64645,0.31389,1.04976,0.0005645,0.0005645,0.0005645
147,3346.66,0.74396,0.43,1.1133,0.99387,0.98123,0.98836,0.84831,0.62372,0.30083,1.02693,0.0005546,0.0005546,0.0005546
148,3368.46,0.72825,0.42293,1.09652,0.9948,0.97948,0.98835,0.84255,0.63473,0.31143,1.03664,0.0005447,0.0005447,0.0005447
149,3390.46,0.7343,0.42444,1.08902,0.99686,0.98294,0.99234,0.8425,0.63645,0.30659,1.04724,0.0005348,0.0005348,0.0005348
150,3412.56,0.73741,0.42208,1.09386,0.99312,0.98528,0.99471,0.84417,0.63122,0.30196,1.03308,0.0005249,0.0005249,0.0005249
151,3434.57,0.74446,0.4282,1.0983,0.99803,0.98294,0.99118,0.84838,0.61555,0.29417,1.02538,0.000515,0.000515,0.000515
152,3456.55,0.73052,0.41901,1.086,0.99481,0.98208,0.99435,0.85065,0.61391,0.2897,1.03369,0.0005051,0.0005051,0.0005051
153,3478.79,0.72431,0.41583,1.0887,0.99141,0.98445,0.98772,0.84215,0.61784,0.29531,1.02811,0.0004952,0.0004952,0.0004952
154,3500.73,0.74847,0.42234,1.09803,0.99654,0.9824,0.99196,0.84442,0.62614,0.29787,1.02766,0.0004853,0.0004853,0.0004853
155,3522.95,0.7317,0.424,1.09812,0.99827,0.98678,0.99392,0.85258,0.60645,0.29492,1.02383,0.0004754,0.0004754,0.0004754
156,3545,0.71487,0.41752,1.0898,0.99515,0.98805,0.9944,0.85683,0.60634,0.29572,1.01966,0.0004655,0.0004655,0.0004655
157,3567.15,0.72375,0.41755,1.0879,0.99828,0.98915,0.99399,0.85075,0.60689,0.2943,1.02234,0.0004556,0.0004556,0.0004556
158,3589.32,0.71838,0.41299,1.09048,0.99656,0.98794,0.99153,0.85336,0.60801,0.29086,1.01945,0.0004457,0.0004457,0.0004457
159,3610.99,0.72696,0.41838,1.10166,0.99681,0.98635,0.99452,0.85325,0.60503,0.28775,1.02566,0.0004358,0.0004358,0.0004358
160,3633.3,0.70984,0.40246,1.077,0.99601,0.98976,0.9948,0.85781,0.59807,0.29152,1.01343,0.0004259,0.0004259,0.0004259
161,3655.25,0.71987,0.40997,1.08962,0.99314,0.98789,0.99151,0.85164,0.60184,0.28955,1.01787,0.000416,0.000416,0.000416
162,3677.55,0.70677,0.41107,1.08202,0.9963,0.98805,0.99201,0.85536,0.59904,0.28754,1.01896,0.0004061,0.0004061,0.0004061
163,3699.5,0.69595,0.40231,1.08169,0.99481,0.98635,0.98957,0.85404,0.60169,0.29388,1.01749,0.0003962,0.0003962,0.0003962
164,3721.7,0.70549,0.41076,1.08041,0.99573,0.98635,0.99191,0.85528,0.59234,0.28916,1.01876,0.0003863,0.0003863,0.0003863
165,3743.75,0.70436,0.40402,1.08327,0.99708,0.98805,0.99388,0.85341,0.59268,0.28891,1.00711,0.0003764,0.0003764,0.0003764
166,3765.74,0.69338,0.39822,1.08056,0.99142,0.98595,0.98851,0.85717,0.58537,0.28514,1.00368,0.0003665,0.0003665,0.0003665
167,3787.58,0.69451,0.40459,1.07624,0.99648,0.98294,0.99221,0.86171,0.58181,0.28387,1.00748,0.0003566,0.0003566,0.0003566
168,3809.54,0.69269,0.39957,1.06946,0.99485,0.98974,0.99399,0.86059,0.58382,0.28188,1.00937,0.0003467,0.0003467,0.0003467
169,3831.69,0.69331,0.40763,1.08283,0.99517,0.98805,0.99432,0.86303,0.57939,0.28186,1.00533,0.0003368,0.0003368,0.0003368
170,3853.97,0.69063,0.40002,1.08282,0.99664,0.98294,0.992,0.85766,0.58208,0.2812,1.0101,0.0003269,0.0003269,0.0003269
171,3876.25,0.68189,0.39723,1.07302,0.99301,0.98805,0.98953,0.86285,0.57053,0.27834,0.9977,0.000317,0.000317,0.000317
172,3898.34,0.68709,0.39541,1.07168,0.99828,0.9879,0.99411,0.86442,0.56778,0.28168,1.00451,0.0003071,0.0003071,0.0003071
173,3920.38,0.67474,0.38353,1.07374,0.99974,0.98805,0.9947,0.86567,0.57674,0.28594,1.01484,0.0002972,0.0002972,0.0002972
174,3942.54,0.68203,0.39609,1.07803,0.99794,0.98805,0.99179,0.86726,0.56528,0.28495,0.99894,0.0002873,0.0002873,0.0002873
175,3964.65,0.67756,0.38999,1.06993,0.99828,0.9879,0.99294,0.87006,0.55878,0.27703,0.9982,0.0002774,0.0002774,0.0002774
176,3986.87,0.66032,0.38074,1.05829,0.99786,0.98805,0.99401,0.86962,0.55322,0.276,0.99883,0.0002675,0.0002675,0.0002675
177,4008.9,0.67388,0.38458,1.06306,0.99801,0.98805,0.99211,0.86958,0.55857,0.27937,0.99848,0.0002576,0.0002576,0.0002576
178,4030.85,0.66967,0.38982,1.0672,1,0.98806,0.9924,0.86935,0.54999,0.27349,0.99573,0.0002477,0.0002477,0.0002477
179,4052.79,0.6577,0.38699,1.05648,0.99656,0.98801,0.99322,0.86621,0.55553,0.27884,0.99767,0.0002378,0.0002378,0.0002378
180,4074.82,0.66809,0.39001,1.06852,0.99655,0.98707,0.99341,0.86263,0.56048,0.28288,0.99581,0.0002279,0.0002279,0.0002279
181,4097.02,0.6875,0.39317,1.07597,0.99656,0.9877,0.99395,0.87079,0.55356,0.2796,0.99116,0.000218,0.000218,0.000218
182,4119.09,0.6553,0.38484,1.05209,0.99482,0.98385,0.98969,0.87018,0.55356,0.27364,0.99029,0.0002081,0.0002081,0.0002081
183,4142.88,0.66186,0.37937,1.06423,0.99511,0.98635,0.99307,0.86917,0.55043,0.27545,0.99111,0.0001982,0.0001982,0.0001982
184,4164.88,0.66743,0.38591,1.06322,0.99278,0.98805,0.98953,0.87057,0.54723,0.27457,0.98848,0.0001883,0.0001883,0.0001883
185,4186.87,0.66886,0.38845,1.0608,0.98953,0.98805,0.99375,0.87115,0.55197,0.27173,0.99108,0.0001784,0.0001784,0.0001784
