epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9313,1.39871,1.97742,1.59281,0.6563,0.54608,0.60925,0.28199,1.56649,2.26464,1.90376,0.000658436,0.000658436,0.000658436
2,47.6663,1.45364,1.60634,1.59651,0.54807,0.51877,0.51343,0.2106,1.94397,2.14559,2.30148,0.00131854,0.00131854,0.00131854
3,68.7683,1.52047,1.51624,1.64216,0.49238,0.54127,0.51709,0.23115,1.73268,1.70267,2.0216,0.00197205,0.00197205,0.00197205
4,91.0887,1.49499,1.42502,1.62782,0.5345,0.56655,0.53677,0.24282,1.73917,2.30449,2.07143,0.0019703,0.0019703,0.0019703
5,112.575,1.4949,1.3743,1.62654,0.74707,0.72526,0.717,0.40319,1.48184,1.42285,1.77954,0.0019604,0.0019604,0.0019604
6,134.077,1.46673,1.25519,1.59688,0.69304,0.69625,0.70957,0.3151,1.90446,1.39162,1.98026,0.0019505,0.0019505,0.0019505
7,157.147,1.39499,1.1942,1.54995,0.79264,0.76322,0.80604,0.4597,1.4206,1.12134,1.69365,0.0019406,0.0019406,0.0019406
8,178.766,1.42087,1.18427,1.54934,0.87593,0.83126,0.89096,0.50019,1.41916,0.96047,1.686,0.0019307,0.0019307,0.0019307
9,200.586,1.41041,1.17276,1.55159,0.84528,0.84837,0.8849,0.51269,1.3877,1.01121,1.66625,0.0019208,0.0019208,0.0019208
10,222.203,1.34535,1.09152,1.50476,0.79935,0.78861,0.83821,0.48327,1.42315,0.98194,1.6407,0.0019109,0.0019109,0.0019109
11,244.036,1.3338,1.06092,1.48144,0.83472,0.75939,0.81412,0.48161,1.4741,1.11721,1.71947,0.001901,0.001901,0.001901
12,266.086,1.31416,1.03088,1.48223,0.83958,0.78591,0.87943,0.50311,1.41805,0.90704,1.67009,0.0018911,0.0018911,0.0018911
13,287.739,1.31937,1.01274,1.46749,0.89244,0.89078,0.92916,0.58633,1.26251,0.79055,1.54028,0.0018812,0.0018812,0.0018812
14,310.538,1.29904,0.97264,1.45179,0.9374,0.84324,0.9299,0.58909,1.27353,0.81498,1.56038,0.0018713,0.0018713,0.0018713
15,332.863,1.28245,0.95852,1.45576,0.90245,0.8051,0.88216,0.54478,1.3549,0.87345,1.59176,0.0018614,0.0018614,0.0018614
16,355.408,1.2505,0.95737,1.43491,0.94549,0.87543,0.94246,0.62446,1.15487,0.72448,1.43811,0.0018515,0.0018515,0.0018515
17,377.057,1.27361,0.95978,1.45219,0.91964,0.88737,0.94325,0.58273,1.30522,0.73493,1.52366,0.0018416,0.0018416,0.0018416
18,398.945,1.27737,0.92925,1.44192,0.90115,0.89761,0.94772,0.61224,1.17134,0.74255,1.45529,0.0018317,0.0018317,0.0018317
19,421.054,1.24086,0.91974,1.41408,0.93985,0.9066,0.95512,0.61715,1.19321,0.71039,1.44941,0.0018218,0.0018218,0.0018218
20,442.898,1.22839,0.88136,1.41778,0.94603,0.9198,0.96522,0.62751,1.19494,0.67729,1.45192,0.0018119,0.0018119,0.0018119
21,464.845,1.26679,0.91816,1.43152,0.93973,0.93125,0.94826,0.63095,1.13838,0.7107,1.40469,0.001802,0.001802,0.001802
22,487.608,1.22681,0.85819,1.41528,0.92625,0.92491,0.95621,0.62726,1.18779,0.66929,1.43466,0.0017921,0.0017921,0.0017921
23,510.284,1.23001,0.87094,1.40259,0.9315,0.90505,0.95006,0.65341,1.11626,0.66402,1.38811,0.0017822,0.0017822,0.0017822
24,532.282,1.19177,0.8457,1.37845,0.9204,0.91297,0.95125,0.63652,1.16556,0.69972,1.41524,0.0017723,0.0017723,0.0017723
25,553.5,1.2055,0.85715,1.40078,0.95592,0.91468,0.96203,0.64698,1.15856,0.6812,1.44847,0.0017624,0.0017624,0.0017624
26,575.059,1.20097,0.85214,1.38951,0.93555,0.91809,0.96402,0.65925,1.11561,0.61104,1.41187,0.0017525,0.0017525,0.0017525
27,596.759,1.19588,0.80842,1.38209,0.92998,0.94027,0.96879,0.65363,1.13859,0.61924,1.41476,0.0017426,0.0017426,0.0017426
28,618.001,1.17438,0.79176,1.35996,0.92903,0.92662,0.95879,0.65751,1.10756,0.61565,1.37198,0.0017327,0.0017327,0.0017327
29,639.828,1.1555,0.77057,1.35086,0.93146,0.91297,0.96111,0.64783,1.17088,0.65438,1.42203,0.0017228,0.0017228,0.0017228
30,661.52,1.18317,0.79325,1.36843,0.95557,0.94539,0.97414,0.68052,1.0814,0.56793,1.36723,0.0017129,0.0017129,0.0017129
31,683.625,1.15552,0.78942,1.36278,0.92619,0.94027,0.96723,0.66045,1.10735,0.61217,1.39252,0.001703,0.001703,0.001703
32,705.072,1.14729,0.78423,1.35464,0.92319,0.95392,0.96729,0.68276,1.05784,0.59879,1.34405,0.0016931,0.0016931,0.0016931
33,726.627,1.13435,0.75757,1.33953,0.96076,0.96075,0.97509,0.68939,1.08378,0.53491,1.3631,0.0016832,0.0016832,0.0016832
34,749.106,1.15368,0.76678,1.35499,0.96692,0.94782,0.97672,0.69523,1.03592,0.53391,1.3297,0.0016733,0.0016733,0.0016733
35,771.181,1.13415,0.7614,1.34059,0.93895,0.94369,0.97145,0.66177,1.12959,0.58544,1.41138,0.0016634,0.0016634,0.0016634
36,792.977,1.13455,0.73287,1.34633,0.9354,0.93905,0.97183,0.69852,1.02675,0.56105,1.3168,0.0016535,0.0016535,0.0016535
37,814.613,1.13406,0.74716,1.33832,0.97125,0.9224,0.97418,0.6958,1.04763,0.54891,1.31898,0.0016436,0.0016436,0.0016436
38,836.577,1.08768,0.71134,1.31412,0.94823,0.93515,0.96759,0.65738,1.10395,0.59262,1.37598,0.0016337,0.0016337,0.0016337
39,857.773,1.13861,0.7441,1.33868,0.96836,0.93345,0.97705,0.68685,1.04045,0.53347,1.34411,0.0016238,0.0016238,0.0016238
40,879.345,1.13101,0.72733,1.33446,0.95474,0.9359,0.97121,0.67936,1.09134,0.56625,1.35301,0.0016139,0.0016139,0.0016139
41,900.826,1.09655,0.70828,1.31293,0.9574,0.94539,0.97708,0.70712,1.01423,0.5288,1.31704,0.001604,0.001604,0.001604
42,922.634,1.0943,0.69809,1.31444,0.96202,0.95392,0.98059,0.69662,1.06965,0.51567,1.33235,0.0015941,0.0015941,0.0015941
43,944.029,1.10526,0.70437,1.32346,0.96628,0.95563,0.98448,0.69113,1.02204,0.54925,1.29803,0.0015842,0.0015842,0.0015842
44,965.577,1.09325,0.69689,1.30607,0.96349,0.95734,0.97418,0.69206,1.01223,0.53291,1.3152,0.0015743,0.0015743,0.0015743
45,987.617,1.10243,0.70152,1.31285,0.96398,0.9471,0.97363,0.6957,1.02759,0.52713,1.32878,0.0015644,0.0015644,0.0015644
46,1009.07,1.08174,0.6984,1.29674,0.96043,0.95273,0.97582,0.68997,1.01848,0.52412,1.30616,0.0015545,0.0015545,0.0015545
47,1030.65,1.05227,0.6707,1.29177,0.96655,0.95904,0.98331,0.7345,0.94462,0.47499,1.2566,0.0015446,0.0015446,0.0015446
48,1052.61,1.07781,0.68171,1.30322,0.96254,0.96459,0.97705,0.71197,0.98458,0.49139,1.30611,0.0015347,0.0015347,0.0015347
49,1074.24,1.07955,0.68438,1.30019,0.95263,0.96081,0.97777,0.70987,0.99858,0.51161,1.29977,0.0015248,0.0015248,0.0015248
50,1095.41,1.07552,0.67475,1.30567,0.98907,0.94539,0.98189,0.7329,0.96576,0.47048,1.26699,0.0015149,0.0015149,0.0015149
51,1116.85,1.07168,0.67149,1.2975,0.96739,0.96193,0.98378,0.73417,0.94276,0.463,1.23473,0.001505,0.001505,0.001505
52,1138.34,1.04766,0.65153,1.28731,0.97137,0.95904,0.98349,0.72452,0.98891,0.47567,1.28194,0.0014951,0.0014951,0.0014951
53,1159.33,1.0261,0.65609,1.26967,0.9882,0.96246,0.98454,0.7312,0.9722,0.46085,1.25922,0.0014852,0.0014852,0.0014852
54,1181.02,1.0625,0.65343,1.2891,0.97568,0.9585,0.98568,0.72815,0.95777,0.47013,1.26154,0.0014753,0.0014753,0.0014753
55,1202.41,1.05911,0.64563,1.2876,0.9776,0.96587,0.98663,0.7396,0.9372,0.47201,1.24525,0.0014654,0.0014654,0.0014654
56,1224.04,1.04474,0.63356,1.27881,0.96415,0.95563,0.98189,0.73689,0.94928,0.47435,1.24575,0.0014555,0.0014555,0.0014555
57,1245.22,1.03424,0.63343,1.28212,0.97235,0.96928,0.98371,0.71697,0.98853,0.47788,1.28247,0.0014456,0.0014456,0.0014456
58,1266.56,1.0461,0.65158,1.28433,0.97729,0.95448,0.98551,0.71948,0.98445,0.46565,1.26727,0.0014357,0.0014357,0.0014357
59,1287.95,1.02108,0.6159,1.25496,0.97413,0.96384,0.98188,0.7416,0.91736,0.44814,1.22662,0.0014258,0.0014258,0.0014258
60,1308.87,1.0333,0.63183,1.26448,0.96271,0.96916,0.9857,0.73061,0.97696,0.45857,1.26338,0.0014159,0.0014159,0.0014159
61,1330.34,1.03001,0.6338,1.26831,0.96931,0.97022,0.9863,0.73071,0.96538,0.4619,1.27105,0.001406,0.001406,0.001406
62,1351.95,1.00038,0.62305,1.25534,0.95157,0.9724,0.98822,0.75352,0.8967,0.43673,1.21457,0.0013961,0.0013961,0.0013961
63,1373.28,1.01437,0.61207,1.24954,0.97604,0.97308,0.98589,0.75142,0.91321,0.44411,1.23635,0.0013862,0.0013862,0.0013862
64,1394.39,1.0277,0.62518,1.26849,0.97315,0.96246,0.98938,0.74452,0.92241,0.44775,1.22884,0.0013763,0.0013763,0.0013763
65,1416.04,1.01249,0.60644,1.25003,0.96583,0.9648,0.98438,0.74585,0.92925,0.45674,1.22949,0.0013664,0.0013664,0.0013664
