epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.328,1.39871,1.97742,1.59281,0.6563,0.54608,0.60925,0.28199,1.56649,2.26464,1.90376,0.000658436,0.000658436,0.000658436
2,48.9191,1.4534,1.59383,1.59279,0.69325,0.66212,0.67496,0.33071,1.62343,2.02978,2.00092,0.00123765,0.00123765,0.00123765
3,71.9569,1.47231,1.47385,1.61401,0.72288,0.67065,0.71146,0.35801,1.69461,1.63806,2.05478,0.00172886,0.00172886,0.00172886
4,94.0251,1.44699,1.36505,1.60032,0.63721,0.70136,0.68682,0.30628,1.63694,1.49975,1.8988,0.001604,0.001604,0.001604
5,116.427,1.42361,1.28959,1.56824,0.74437,0.76451,0.76958,0.4329,1.41319,1.37946,1.68485,0.001472,0.001472,0.001472
6,165.32,1.36573,1.20632,1.67177,0.7947,0.70021,0.79658,0.456,1.38643,1.2309,1.66164,0.00134,0.00134,0.00134
7,193.229,1.34026,1.05608,1.62613,0.86409,0.83959,0.87127,0.51023,1.34709,0.99227,1.66481,0.001208,0.001208,0.001208
8,220.599,1.272,0.94659,1.57,0.89295,0.8686,0.93874,0.59898,1.20639,0.8498,1.48834,0.001076,0.001076,0.001076
9,244.44,1.19318,0.87395,1.49937,0.92109,0.88225,0.9353,0.61662,1.16539,0.76266,1.46258,0.000944,0.000944,0.000944
10,271.129,1.15513,0.8196,1.46842,0.91545,0.90538,0.94463,0.63137,1.15985,0.75557,1.44118,0.000812,0.000812,0.000812
11,297.395,1.1461,0.75757,1.45925,0.91955,0.90785,0.95353,0.62507,1.21451,0.69797,1.48832,0.00068,0.00068,0.00068
12,324.298,1.1063,0.72708,1.42157,0.93538,0.93003,0.96278,0.66691,1.09478,0.66398,1.38031,0.000548,0.000548,0.000548
13,352.132,1.04291,0.66946,1.3692,0.94586,0.93515,0.969,0.6797,1.06055,0.62905,1.35103,0.000416,0.000416,0.000416
14,378.494,1.00943,0.65354,1.33751,0.97323,0.93049,0.97895,0.70347,1.0081,0.58083,1.30359,0.000284,0.000284,0.000284
15,405.406,0.97425,0.59809,1.32063,0.97206,0.94198,0.98088,0.71083,1.01303,0.56027,1.30896,0.000152,0.000152,0.000152
